Altium Designer Pick and Place Locations
D:\Github\Liquid Tremolo\Project Outputs for Liquid Tremolo\Pick Place\Pick Place for Liquid Tremolo.csv

========================================================================================================================
File Design Information:

Date:       31.08.21
Time:       11:57
Revision:   de003fe07aa128aedcbe6bb5ec072ef568ec22a5
Variant:    No variations
Units used: mm

"Designator","Comment","Layer","Footprint","Center-X(mm)","Center-Y(mm)","Rotation","Description"
"R20","0?","TopLayer","RESISTOR_0603","21.9500","-35.8000","90","75V -55?~+155? ±1% Thick Film Resistors 100mW 0? 0603 Chip Resistor - Surface Mount ROHS"
"J2","PJ-609K","BottomLayer","HOOYA_PJ-609K","15.4000","-8.0000","180","6.35mm Plug-in headphone holder Horizontal 6 Female - Audio & Video Connectors ROHS"
"J1","PJ-609K","BottomLayer","HOOYA_PJ-609K","-15.4000","-8.0000","0","6.35mm Plug-in headphone holder Horizontal 6 Female - Audio & Video Connectors ROHS"
"S1","3PDT","TopLayer","3PDT","-12.0000","-30.0000","90","Top Actuated 50mA @ 12VDC Round Button SPST 6*6mm Tactile Switches ROHS"
"R13","1k","TopLayer","RESISTOR_0603","-2.0000","10.0000","0","±1% ±100ppm/? 1k? 0.1W 0603 Chip Resistor - Surface Mount ROHS"
"D2","Red 3mm","TopLayer","LED_3MM_BLUE","0.0000","4.1500","90","Red 620nm~630nm 1.8V~2.6V Through Hole Light Emitting Diodes (LED) ROHS"
"X1","S7D32.768KB20F30T","TopLayer","S7D32.768KB20F30T","19.5500","-8.0000","90","3.3V 32.768KHz ±20ppm SMD7050-4P Oscillators ROHS"
"U4","SC1117-3.3V","TopLayer","SC1117-3.3V","0.3000","28.8500","180","12V 1.5V @ 700mA Fixed 3.3V SOT-223 Linear Voltage Regulators (LDO) ROHS"
"U3","STM32G030F6P6TR","TopLayer","STM32G030F6P6TR","9.7500","-8.0000","180","TSSOP-20 ST Microelectronics ROHS"
"U2","JRC4558D","BottomLayer","JRC4558","0.0000","25.0000","180","SOP-8 Operational Amplifier ROHS"
"U1","MCP41010T-I/SN","TopLayer","MCP41010","0.0000","-13.0000","180","SOIC-8 Digital Potentiometers ROHS"
"T2","2SC1815","TopLayer","2SC1815","5.8250","13.7500","90","50V 0.2W 0.15A NPN SOT-23(SOT-23-3) Bipolar Transistors - BJT ROHS"
"T1","2SC1815","TopLayer","2SC1815","7.2000","-38.7500","270","50V 0.2W 0.15A NPN SOT-23(SOT-23-3) Bipolar Transistors - BJT ROHS"
"S2","K2-1102SP-C4SC-04","TopLayer","K2-1102SP-C4SC-04","-8.1500","-44.0000","0","Top Actuated 50mA @ 12VDC Round Button SPST 6*6mm Tactile Switches ROHS"
"RT4","10k","BottomLayer","RK09D1130C2P","15.0000","32.0000","180","±20% 10k? Plugin Variable Resistors/Potentiometers ROHS"
"RT3","10k","BottomLayer","RK09D1130C2P","-15.0000","15.0000","180","±20% 10k? Plugin Variable Resistors/Potentiometers ROHS"
"RT2","10k","BottomLayer","RK09D1130C2P","-15.0000","32.0000","180","±20% 10k? Plugin Variable Resistors/Potentiometers ROHS"
"RT1","10k","BottomLayer","RK09D1130C2P","15.0000","15.0000","180","±20% 10k? Plugin Variable Resistors/Potentiometers ROHS"
"R19","10k","TopLayer","RESISTOR_0603","-0.8500","-42.5000","270","±1% ±100ppm/? 10k? 0.1W 0603 Chip Resistor - Surface Mount ROHS"
"R18","10k","TopLayer","RESISTOR_0603","-23.0000","9.7404","90","±1% ±100ppm/? 10k? 0.1W 0603 Chip Resistor - Surface Mount ROHS"
"R17","10k","TopLayer","RESISTOR_0603","-23.0000","12.4500","90","±1% ±100ppm/? 10k? 0.1W 0603 Chip Resistor - Surface Mount ROHS"
"R16","10k","TopLayer","RESISTOR_0603","12.7750","-25.0250","0","±1% ±100ppm/? 10k? 0.1W 0603 Chip Resistor - Surface Mount ROHS"
"R15","10k","TopLayer","RESISTOR_0603","20.9000","-13.1000","0","±1% ±100ppm/? 10k? 0.1W 0603 Chip Resistor - Surface Mount ROHS"
"R14","1k","TopLayer","RESISTOR_0603","6.8250","10.6250","90","±1% ±100ppm/? 1k? 0.1W 0603 Chip Resistor - Surface Mount ROHS"
